count=498
[133] distance=0.0366263 idx0=401 idx1=405
[134] distance=0.0368491 idx0=85 idx1=86
[135] distance=0.0381898 idx0=91 idx1=85
[136] distance=0.0381931 idx0=7 idx1=7
[137] distance=0.038258 idx0=90 idx1=90
[138] distance=0.0382798 idx0=276 idx1=285
[139] distance=0.0391143 idx0=48 idx1=47
[140] distance=0.0392353 idx0=0 idx1=0
[141] distance=0.0397646 idx0=22 idx1=22
[142] distance=0.0402577 idx0=388 idx1=414
[143] distance=0.0404374 idx0=69 idx1=71
[144] distance=0.0407227 idx0=408 idx1=398
[145] distance=0.0421001 idx0=323 idx1=347
[146] distance=0.0422212 idx0=14 idx1=14
[147] distance=0.0422931 idx0=191 idx1=200
[148] distance=0.0426861 idx0=79 idx1=79
[149] distance=0.0433942 idx0=311 idx1=333
[150] distance=0.0435195 idx0=569 idx1=527
[151] distance=0.0435941 idx0=181 idx1=185
[152] distance=0.0438223 idx0=186 idx1=190
[153] distance=0.0439876 idx0=601 idx1=589
[154] distance=0.0440622 idx0=489 idx1=494
[155] distance=0.0444281 idx0=81 idx1=81
[156] distance=0.0444291 idx0=836 idx1=303
[157] distance=0.0453755 idx0=71 idx1=70
[158] distance=0.0454806 idx0=120 idx1=118
[159] distance=0.0458004 idx0=177 idx1=174
[160] distance=0.0458245 idx0=26 idx1=26
[161] distance=0.046187 idx0=50 idx1=49
[162] distance=0.0469537 idx0=65 idx1=65
[163] distance=0.0470563 idx0=15 idx1=15
[164] distance=0.047612 idx0=105 idx1=105
[165] distance=0.0483526 idx0=135 idx1=138
[166] distance=0.048796 idx0=179 idx1=198
[167] distance=0.0488569 idx0=157 idx1=164
[168] distance=0.0494765 idx0=115 idx1=116
[169] distance=0.0496151 idx0=45 idx1=45
[170] distance=0.0496399 idx0=233 idx1=230
[171] distance=0.0500679 idx0=236 idx1=242
[172] distance=0.0500891 idx0=463 idx1=468
[173] distance=0.0503262 idx0=218 idx1=223
[174] distance=0.0503701 idx0=219 idx1=225
[175] distance=0.0504382 idx0=226 idx1=220
[176] distance=0.0510177 idx0=185 idx1=192
[177] distance=0.0510199 idx0=260 idx1=273
[178] distance=0.0517972 idx0=184 idx1=634
[179] distance=0.0518859 idx0=548 idx1=560
[180] distance=0.0518879 idx0=533 idx1=525
[181] distance=0.05199 idx0=345 idx1=368
[182] distance=0.0521666 idx0=55 idx1=56
[183] distance=0.0529437 idx0=406 idx1=436
[184] distance=0.0533408 idx0=72 idx1=72
[185] distance=0.0547511 idx0=160 idx1=163
[186] distance=0.0558479 idx0=445 idx1=473
[187] distance=0.0560196 idx0=530 idx1=580
[188] distance=0.0564979 idx0=46 idx1=46
[189] distance=0.0565381 idx0=271 idx1=291
[190] distance=0.0573025 idx0=36 idx1=36
[191] distance=0.0580275 idx0=156 idx1=161
[192] distance=0.0584812 idx0=321 idx1=342
[193] distance=0.0588937 idx0=123 idx1=124
[194] distance=0.0595769 idx0=166 idx1=172
[195] distance=0.0604128 idx0=21 idx1=20
[196] distance=0.0608444 idx0=454 idx1=533
